Grp	Grpseq	codepoint	Graph	Name	NumericValue	BidirectionalClass	BidirectionalMirrored	Block	CanonicalCombiningClass	CantoneseReading	Category	DecompositionMapping	DecompositionType	Definition	HangulReading	JapaneseKunReading	JapaneseOnReading	KoreanReading	MandarinReading	AliasName	AliasKind	NumericType	OldName	SimpleLowerCaseMapping	SimpleTitleCaseMapping	SimpleUpperCaseMapping	SimplifiedVariant	TraditionalVariant	UnicodeRadicalStrokeCounts	VietnameseReading	IsAscii	IsBmp	Plane
51	1	12834	㈢	PARENTHESIZED IDEOGRAPH THREE	3	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(三)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
52	1	12835	㈣	PARENTHESIZED IDEOGRAPH FOUR	4	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(四)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
53	1	12836	㈤	PARENTHESIZED IDEOGRAPH FIVE	5	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(五)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
54	1	12837	㈥	PARENTHESIZED IDEOGRAPH SIX	6	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(六)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
55	1	12838	㈦	PARENTHESIZED IDEOGRAPH SEVEN	7	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(七)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
56	1	12839	㈧	PARENTHESIZED IDEOGRAPH EIGHT	8	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(八)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
57	1	12840	㈨	PARENTHESIZED IDEOGRAPH NINE	9	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(九)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
58	1	12841	㈩	PARENTHESIZED IDEOGRAPH TEN	10	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(十)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
59	1	12842	㈪	PARENTHESIZED IDEOGRAPH MOON	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(月)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
60	1	12843	㈫	PARENTHESIZED IDEOGRAPH FIRE	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(火)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
61	1	12844	㈬	PARENTHESIZED IDEOGRAPH WATER	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(水)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
62	1	12845	㈭	PARENTHESIZED IDEOGRAPH WOOD	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(木)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
63	1	12846	㈮	PARENTHESIZED IDEOGRAPH METAL	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(金)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
64	1	12847	㈯	PARENTHESIZED IDEOGRAPH EARTH	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(土)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
65	1	12848	㈰	PARENTHESIZED IDEOGRAPH SUN	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(日)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
66	1	12849	㈱	PARENTHESIZED IDEOGRAPH STOCK	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(株)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
67	1	12850	㈲	PARENTHESIZED IDEOGRAPH HAVE	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(有)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
68	1	12851	㈳	PARENTHESIZED IDEOGRAPH SOCIETY	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(社)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
69	1	12852	㈴	PARENTHESIZED IDEOGRAPH NAME	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(名)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
70	1	12853	㈵	PARENTHESIZED IDEOGRAPH SPECIAL	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(特)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
71	1	12854	㈶	PARENTHESIZED IDEOGRAPH FINANCIAL	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(財)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
72	1	12855	㈷	PARENTHESIZED IDEOGRAPH CONGRATULATION	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(祝)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
73	1	12856	㈸	PARENTHESIZED IDEOGRAPH LABOR	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(労)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
74	1	12857	㈹	PARENTHESIZED IDEOGRAPH REPRESENT	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(代)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
75	1	12858	㈺	PARENTHESIZED IDEOGRAPH CALL	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(呼)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
76	1	12859	㈻	PARENTHESIZED IDEOGRAPH STUDY	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(学)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
77	1	12860	㈼	PARENTHESIZED IDEOGRAPH SUPERVISE	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(監)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
78	1	12861	㈽	PARENTHESIZED IDEOGRAPH ENTERPRISE	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(企)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
79	1	12862	㈾	PARENTHESIZED IDEOGRAPH RESOURCE	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(資)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
80	1	12863	㈿	PARENTHESIZED IDEOGRAPH ALLIANCE	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(協)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
81	1	12864	㉀	PARENTHESIZED IDEOGRAPH FESTIVAL	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(祭)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
82	1	12865	㉁	PARENTHESIZED IDEOGRAPH REST	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(休)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
83	1	12866	㉂	PARENTHESIZED IDEOGRAPH SELF	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(自)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
84	1	12867	㉃	PARENTHESIZED IDEOGRAPH REACH	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(至)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
85	1	12868	㉄	CIRCLED IDEOGRAPH QUESTION	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	問	Circle	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
86	1	12869	㉅	CIRCLED IDEOGRAPH KINDERGARTEN	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	幼	Circle	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
87	1	12870	㉆	CIRCLED IDEOGRAPH SCHOOL	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	文	Circle	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
88	1	12871	㉇	CIRCLED IDEOGRAPH KOTO	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	箏	Circle	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
89	1	12872	㉈	CIRCLED NUMBER TEN ON BLACK SQUARE	10	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
90	1	12873	㉉	CIRCLED NUMBER TWENTY ON BLACK SQUARE	20	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
91	1	12874	㉊	CIRCLED NUMBER THIRTY ON BLACK SQUARE	30	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
92	1	12875	㉋	CIRCLED NUMBER FORTY ON BLACK SQUARE	40	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
93	1	12876	㉌	CIRCLED NUMBER FIFTY ON BLACK SQUARE	50	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
